site,N,S,W,E
site_1,8.85185,8.65185,-80.60452,-80.40452
site_2,8.90678,8.70678,-80.00707,-79.80707
site_3,8.60339,8.40339,-80.26431,-80.06431
site_4,8.90229,8.70229,-80.00838,-79.80838
site_5,8.84895,8.64895,-80.19169,-79.99169
