site,site_utm_zone,site_utme,site_utmn,area_sqr_m,site_code,site_elevation_m,depth_m,topo,wilderness,site_comments,site_id,region_id,site_name_alt,site_latitude,site_longitude,geographic_area,geographic_area_type,region,country_id,time_zone,rm,pop_id
"10456",11,357029,4078863,"8480",NA,"2969","2.7",the_sphinx,kings_canyon,NA,6f586a46-0c81-4361-8eb1-7f15348e4b46,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.8448663960701,-118.603536534986,kings_sf_granite_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10457",11,357002,4079123,"21555",NA,"2969","3.4",the_sphinx,kings_canyon,NA,794b1672-4339-4425-97fe-617790bc62cf,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.8472052032987,-118.603888201226,kings_sf_granite_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10458",11,358695,4079549,"11699",NA,"2981","13.1",the_sphinx,kings_canyon,NA,939af059-a561-440c-ac5f-9145d2da726b,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.8512986271084,-118.584985144778,kings_sf_copper_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10459",11,358293,4079640,"7640",NA,"3127","6.1",the_sphinx,kings_canyon,NA,d56d23bd-db22-4bf2-aca4-912342ff7343,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.8520584433656,-118.589509692504,kings_sf_copper_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10460",11,358316,4080334,"75618",NA,"3191",NA,the_sphinx,kings_canyon,NA,b612931b-7c48-4e79-b83b-acde94fc4522,9d979cf0-9264-439b-9e04-1fc725acb7cd,grouse lake,36.8583156461642,-118.589381303529,kings_sf_copper_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10461",11,357475,4080964,"11178",NA,"3213","5.9",the_sphinx,kings_canyon,NA,762d4256-27bd-4078-97a8-8c427c66f966,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.863866145847,-118.598930435442,kings_sf_granite_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10462",11,355553,4080913,"208290",NA,"3076","17",the_sphinx,kings_canyon,NA,d27555a7-ca84-4a89-afe4-7a0dac1b34cc,9d979cf0-9264-439b-9e04-1fc725acb7cd,granite lake,36.8631146003057,-118.620475088619,kings_sf_granite_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10467",11,372444,4067585,"7822",NA,"3120","4",mt_brewer,kings_canyon,NA,9263f742-cd26-422b-b8a1-44df29751e3c,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7454361223693,-118.428807319028,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10468",11,374025,4067587,"6602",NA,"3170","5.1",mt_brewer,kings_canyon,NA,09b3bd82-c5b8-4606-a8c3-60918cb46420,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7456654410485,-118.411103119258,kings_sf_bubbs_ck_vidette_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10469",11,374213,4067293,"17914",NA,"3190","7.4",mt_brewer,kings_canyon,NA,3ebea631-69bc-401b-b487-c18848e97286,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7430408383222,-118.40894937965,kings_sf_bubbs_ck_vidette_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10470",11,373858,4067220,"6521",NA,"3230","3.75",mt_brewer,kings_canyon,NA,1237abdb-889e-44a8-8198-e8b1d2c899d6,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7423358166733,-118.412912603754,kings_sf_bubbs_ck_vidette_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10471",11,374257,4066946,"6734",NA,"3210","4.25",mt_brewer,kings_canyon,NA,c248e94b-9d2d-49b8-a94b-0616a6b8e741,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.739919476001,-118.408399518097,kings_sf_bubbs_ck_vidette_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10472",11,373990,4066364,"11169",NA,"3310","4.5",mt_brewer,kings_canyon,NA,2a52a732-fc74-4d56-a0c4-35fac6b78724,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7346390153737,-118.411293224971,kings_sf_bubbs_ck_vidette_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10473",11,374117,4066002,"49097",NA,"3310","7.25",mt_brewer,kings_canyon,NA,b8cea52f-2142-4524-a0a4-2a12395c0426,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7313934922944,-118.409811573332,kings_sf_bubbs_ck_vidette_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
